,Unnamed: 0,Price,Address,Bedrooms,Bathrooms,Sqft,ZipCode,State,City,Latitude,Longitude,County
0,0,714900.0,"5297 W Croyden Ln., Herriman, UT 84096",6.0,4.0,3613.0,84096.0,UT,Herriman,40.529498,-112.0170277,Salt Lake County
1,1,75000.0,"850 North Main Street, 28, Springville, UT 84663",3.0,2.0,960.0,84663.0,UT,Springville,,,Utah County
2,2,714000.0,"2962 Wildflower Court, #22, Park City, UT 84098",2.0,2.5,1365.0,84098.0,UT,Park City,,,Summit County
3,3,475000.0,"10903 S Lake Run Rd, W, South Jordan, UT 84009",4.0,3.75,2224.0,84009.0,UT,South Jordan,,,Salt Lake County
4,4,625000.0,"2890 S 1400 E, Salt Lake City, UT 84106",3.0,1.75,2022.0,84106.0,UT,Salt Lake City,40.70822575,-111.85081358465064,Salt Lake County
5,5,620000.0,"3074 E Nordic Dr, Sandy, UT 84093",3.0,3.0,1911.0,84093.0,UT,Sandy,,,Salt Lake County
6,6,99000.0,"1375 W 500 N 31, Cedar Hills, UT 84062",3.0,2.0,918.0,84062.0,UT,Cedar Hills,,,Utah County
7,7,2300000.0,"257 E Rhapsody Cv, S Unit 305, Draper, UT 84...",5.0,4.5,5027.0,,,,,,Unknown
8,8,368000.0,"3865 S 4800 W, West Valley City, UT 84120",2.0,1.0,714.0,84120.0,UT,West Valley City,40.6998243,-112.0057505,Salt Lake County
9,9,505000.0,"7872 S Hephaestus Ln, W, West Jordan, UT 840...",3.0,3.5,2386.0,,,,,,Unknown
10,10,1250000.0,"2026 E Terra Linda Dr, S, Holladay, UT 84124",4.0,3.5,3399.0,84124.0,UT,Holladay,,,Salt Lake County
11,11,750000.0,"14697 S Snow Blossom Way, E, Draper, UT 84020",4.0,2.5,3511.0,84020.0,UT,Draper,40.4841006,-111.8306973,Salt Lake County
12,12,2850000.0,"1010 S Cascade Falls Cir, Midway, UT 84049",6.0,5.0,6000.0,84049.0,UT,Midway,40.4952883,-111.4883449,Wasatch County
13,13,949900.0,"684 W 1460 S, Lehi, UT 84043",3.0,2.0,3544.0,84043.0,UT,Lehi,,,Utah County
14,14,599000.0,"801 E Holly Avenue, Murray, UT 84107",5.0,3.0,2939.0,84107.0,UT,Murray,40.6384848,-111.8691371,Salt Lake County
15,15,2750000.0,"9126 Wasatch Peak Cir, W, West Jordan, UT 840...",5.0,4.5,6624.0,,,,,,Unknown
16,16,2250000.0,"94 W 600 N, Lindon, UT 84042",3.0,4.5,8270.0,84042.0,UT,Lindon,40.349692,-111.725181,Utah County
17,17,1198888.0,"2048 East 6060 South, Holladay, UT 84121",3.0,2.5,3995.0,84121.0,UT,Holladay,40.6421063,-111.8342976,Salt Lake County
18,18,679000.0,"9992 S Gyrfalcon Ct, Sandy, UT 84092",5.0,2.0,2831.0,84092.0,UT,Sandy,,,Salt Lake County
19,19,369900.0,"7268 South 580 East, Midvale, UT 84047",2.0,1.0,1189.0,84047.0,UT,Midvale,40.6196189,-111.8745682,Salt Lake County
20,20,634900.0,"675 S 1550 E, Pleasant Grove, UT 84062",4.0,2.75,3258.0,84062.0,UT,Pleasant Grove,40.354623,-111.704886,Utah County
21,21,729900.0,"693 W Blue Mountain Drive, #124, Saratoga S...",4.0,2.5,3744.0,,,,,,Unknown
22,22,1089000.0,"4491 N Eagle Nest Ln, Lehi, UT 84043",7.0,5.0,6139.0,84043.0,UT,Lehi,40.447324,-111.8918997,Utah County
23,23,408888.0,"8795 W Edith Cir, Magna, UT 84044",3.0,1.0,1600.0,84044.0,UT,Magna,40.7008475,-112.1010552,Salt Lake County
24,24,494900.0,"9781 N Aaron Ave, Eagle Mountain, UT 84005",3.0,3.0,2466.0,84005.0,UT,Eagle Mountain,40.3861786,-111.9775274,Utah County
25,25,1019000.0,"1783 W Bad Rock Circle #301, Lehi, UT 84043",4.0,2.5,4430.0,84043.0,UT,Lehi,,,Utah County
26,26,759999.0,"10219 S Millerton Drive, South Jordan, UT 84009",5.0,3.5,3882.0,84009.0,UT,South Jordan,,,Salt Lake County
27,27,154900.0,"1215 S 1060 E, Provo, UT 84606",3.0,2.0,1400.0,84606.0,UT,Provo,40.217708,-111.6398626,Utah County
28,28,649000.0,"13169 5800 West, Herriman, UT 84096",3.0,2.0,1312.0,84096.0,UT,Herriman,,,Salt Lake County
29,29,210000.0,"218 S 175 E, #5, Orem, UT 84058",2.0,1.5,1024.0,84058.0,UT,Orem,40.2693031,-111.6909628,Utah County
30,30,699900.0,"1927 N 700 W, Provo, UT 84604",8.0,4.0,3200.0,84604.0,UT,Provo,40.260107,-111.670852,Utah County
31,31,695000.0,"458 E Ivy Woods Ln, Midvale, UT 84047",5.0,3.5,2659.0,84047.0,UT,Midvale,40.6172165,-111.8773533,Salt Lake County
32,32,895000.0,"3059 Uinta Pines Ct, South Jordan, UT 84095",6.0,4.0,3910.0,84095.0,UT,South Jordan,,,Salt Lake County
33,33,539000.0,"267 E Verano Way, Saratoga Springs, UT 84...",5.0,3.5,2439.0,,,,,,Unknown
34,34,379900.0,"661 S 1000 W, Salt Lake City, UT 84104",2.0,1.0,1914.0,84104.0,UT,Salt Lake City,40.7421816,-111.9192081,Salt Lake County
35,35,365000.0,"600 E Marshwood Ln, #b, Murray, UT 84107",2.0,2.0,1320.0,84107.0,UT,Murray,40.6504648,-111.874884,Salt Lake County
36,36,499900.0,"9777 N Aaron Ave, Eagle Mountain, UT 84005",3.0,3.0,2466.0,84005.0,UT,Eagle Mountain,40.3861786,-111.9775274,Utah County
37,37,589900.0,"4635 North Festival Way #208, Eagle Mountain, U...",3.0,2.5,3231.0,,,,,,Unknown
38,38,479990.0,"1068 E Hammock Lane, Saratoga Springs, UT 84...",3.0,2.5,2697.0,,,,,,Unknown
39,39,459900.0,"971 E 10600 S, Sandy, UT 84094",3.0,2.0,1615.0,84094.0,UT,Sandy,40.5587635,-111.8579561,Salt Lake County
40,40,350000.0,"1576 N Venetian Way, #56, Saratoga Springs,...",3.0,2.5,2160.0,,,,,,Unknown
41,41,675000.0,"333 E 1600 S, Orem, UT 84058",6.0,3.0,3000.0,84058.0,UT,Orem,40.267959,-111.6950451,Utah County
42,42,369900.0,"4072 S 300 E, #1, Murray, UT 84107",2.0,2.5,1277.0,84107.0,UT,Murray,40.6359059,-111.8825532,Salt Lake County
43,43,350000.0,"4845 W 4775 S, Salt Lake City, UT 84118",3.0,1.5,1460.0,84118.0,UT,Salt Lake City,,,Salt Lake County
44,44,699000.0,"7519 Stone Rd, Salt Lake City, UT 84121",4.0,2.0,2368.0,84121.0,UT,Salt Lake City,,,Salt Lake County
45,45,859500.0,"1016 S 1500 E, Salt Lake City, UT 84105",3.0,2.0,2231.0,84105.0,UT,Salt Lake City,40.746863250000004,-111.84830617102564,Salt Lake County
46,46,499900.0,"281 E Heather Rd, Orem, UT 84057",5.0,2.0,2126.0,84057.0,UT,Orem,40.331545,-111.684361,Utah County
47,47,795000.0,"2892 W 13760 S, Riverton, UT 84065",4.0,3.5,3641.0,84065.0,UT,Riverton,40.5012943,-111.9548447,Salt Lake County
48,48,879900.0,"6621 Mountain Alder Way #22, Park City, UT...",4.0,2.5,1772.0,,,,,,Unknown
49,49,657900.0,"16139 S Railcar Ln, Lot 1012, Bluffdale, UT 840...",4.0,2.5,2085.0,,,,,,Unknown
50,50,414900.0,"11717 S. Leander Dr., South Jordan, UT 84009",3.0,2.0,1356.0,84009.0,UT,South Jordan,,,Salt Lake County
51,51,529990.0,"3663 E 1180 S, Spanish Fork, UT 84660",3.0,2.5,3558.0,84660.0,UT,Spanish Fork,40.094024,-111.626974,Utah County
52,52,622900.0,"12366 S Pedroia St, Lot 363, Herriman, UT 84096",4.0,2.5,2085.0,84096.0,UT,Herriman,,,Salt Lake County
53,53,456900.0,"2088 N 4100 West, Lot 468, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
54,54,472900.0,"2058 N 4100 West, Lot 464, Lehi, UT 84043",3.0,2.5,1559.0,84043.0,UT,Lehi,,,Utah County
55,55,458900.0,"2082 N 4100 West, Lot 467, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
56,56,456900.0,"2052 N 4100 West, Lot 463, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
57,57,457900.0,"2076 N 4100 West, Lot 466, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
58,58,457900.0,"2046 N 4100 West, Lot 462, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
59,59,471900.0,"2070 N 4100 West, Lot 465, Lehi, UT 84043",3.0,2.5,1559.0,84043.0,UT,Lehi,,,Utah County
60,60,939900.0,"6998 W. Docksider Dr., South Jordan, UT 84009",4.0,2.5,5180.0,84009.0,UT,South Jordan,,,Salt Lake County
61,61,479990.0,"3728 S Alluvial Drive, Magna, UT 84044",3.0,2.5,3067.0,84044.0,UT,Magna,,,Salt Lake County
62,62,414900.0,"11713 Leander Dr., South Jordan, UT 84009",3.0,2.0,1356.0,84009.0,UT,South Jordan,,,Salt Lake County
63,63,457900.0,"2040 N 4100 West, Lot 461, Lehi, UT 84043",3.0,2.5,1629.0,84043.0,UT,Lehi,,,Utah County
64,64,471900.0,"2035 N 4040 West, Lot 439, Lehi, UT 84043",3.0,2.5,1559.0,84043.0,UT,Lehi,,,Utah County
65,65,1275851.0,"11681 S Engelmann Drive, Draper, UT 84020",6.0,3.0,4359.0,84020.0,UT,Draper,,,Salt Lake County
66,66,612200.0,"3871 W 2720 North, Lehi, UT 84043",3.0,2.0,2617.0,84043.0,UT,Lehi,,,Utah County
67,67,599400.0,"3885 W 2720 North, Lehi, UT 84043",3.0,2.0,2859.0,84043.0,UT,Lehi,,,Utah County
68,68,699900.0,"1323 E Weyburn Lane, Holladay, UT 84117",4.0,3.5,2308.0,84117.0,UT,Holladay,,,Salt Lake County
69,69,525000.0,"11582 S Silver Pond Drive, South Jordan, UT...",3.0,2.0,1811.0,,,,40.540016,-112.0527592,Unknown
70,70,639645.0,"2831 S Tangent Peak Rd, Magna, UT 84044",3.0,2.0,2183.0,84044.0,UT,Magna,40.7087384,-112.0832903,Salt Lake County
71,71,,,,,,,,,34.220389,70.3800314,Unknown
72,72,,,,,,,,,34.220389,70.3800314,Unknown
73,73,596360.0,"7827 W Conger Road, Magna, UT 84044",4.0,2.0,2077.0,84044.0,UT,Magna,,,Salt Lake County
74,74,1399995.0,"5864 N Canyon Rim Rd, Lehi, UT 84043",4.0,3.5,3809.0,84043.0,UT,Lehi,,,Utah County
75,75,774900.0,"6723 W. Docksider, South Jordan, UT 84009",3.0,2.5,3965.0,84009.0,UT,South Jordan,,,Salt Lake County
76,76,1299995.0,"5938 N Fox Canyon Rd, Lehi, UT 84043",4.0,3.5,3614.0,84043.0,UT,Lehi,40.447537,-111.8899326,Utah County
77,77,414900.0,"6933 W. Skip Rock Road, South Jordan, UT 84009",3.0,2.5,1540.0,84009.0,UT,South Jordan,,,Salt Lake County
